x,y
1,-2.4549254852
1,-1.625698821
1,-1.491311807
1,-1.4394087409
1,-1.3938287875
1,-1.2936113043
1,-1.2601820269
1,-1.2469682677
1,-0.9890401917
1,-0.9197581459
1,-0.8185618768
1,-0.7983306493
1,-0.7590840747
1,-0.7067208064
1,-0.6193201586
1,-0.556398926
1,-0.5341561262
1,-0.523400491
1,-0.4517864709
1,-0.3450345227
2,-0.3421410549
2,-0.2754207322
2,-0.2359718046
2,-0.1036965663
2,-0.0894450014
2,-0.080682565
2,-0.0676841463
2,-0.0261047283
2,0.0693200555
2,0.0740070943
2,0.1373470333
2,0.1920014186
2,0.2784947369
2,0.318070431
2,0.3561394124
2,0.3911760751
2,0.4143416769
2,0.5489788774
2,0.6278430685
2,0.6443948364
3,0.6507199128
3,0.761892801
3,0.8068654975
3,0.8209894643
3,0.8518000643
3,0.877114755
3,0.9067412817
3,0.9745003882
3,0.979596096
3,1.0035702396
3,1.1005879388
3,1.1214322479
3,1.2312538856
3,1.2385466073
3,1.3141466018
3,1.3417813326
3,1.358854503
3,1.4546755429
3,2.1227934563
3,2.312985087
